Name;Version;Company Name
Microsoft.Web.Administration.resources.dll;10.0.14358.1000;Microsoft Corporation
Microsoft.Web.Administration.resources.dll;10.0.14358.1000;Microsoft Corporation
Microsoft.Web.Administration.resources.dll;10.0.14358.1000;Microsoft Corporation
Microsoft.Web.Administration.resources.dll;10.0.14358.1000;Корпорация Майкрософт
Microsoft.Web.Administration.resources.dll;10.0.14358.1000;Microsoft Corporation
Microsoft.Web.Administration.resources.dll;10.0.14358.1000;Microsoft Corporation
Microsoft.Web.Administration.resources.dll;10.0.14358.1000;Microsoft Corporation
Microsoft.Web.Delegation.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Delegation.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Delegation.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Delegation.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Delegation.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Delegation.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Delegation.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Delegation.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Delegation.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Delegation.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Delegation.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Delegation.resources.dll;7.1.1962.0;Корпорация Майкрософт
Microsoft.Web.Delegation.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Delegation.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Delegation.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Deployment.dll;7.1.622.0;Microsoft Corporation
Microsoft.Web.Deployment.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Deployment.PowerShell.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Deployment.PowerShell.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Deployment.PowerShell.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Deployment.PowerShell.resources.dll;7.1.1962.0;Microsoft Corporation
Microsoft.Web.Deployment.PowerShell.resources.dll;7.1.1962.0;Microsoft Corporation
